ID,TODself_tot,TODparent_tot,TODteacher_tot
309017,84,56,65
309018,53,37,36
309019,66,54,49
309020,89,48,38
309022,70,95,36
309023,54,29,42
309024,81,42,56
309025,88,32,63
309027,104,34,34
309028,46,31,54
309030,68,31,32
309031, ,89,103
309032,69,29,33
309034,57,31,34
309037,71,28,32
309038,100,31,32
309039,115,88,106
309040,67,33,36
309041,79,64,67
309042,74,44,52
309044,76,28,34
309045,56,59,64
309046,66,46,61
309047,48,48,30
309048,62,46,70
309049,75,29,36
310004, , ,75
313002,98,52,93
313004,76,41, 
313006,103,69, 
313008,100,31, 
313009,62, , 
313010,120,97, 
313011,90,84,83
313014,94, , 
313015,74, , 
313016,78,70,54
314003,73,53, 
314005,125,77, 
314006,61,40, 
314011,67,52, 
314013,91,78, 
316002, ,60, 
316005, ,54, 
316006, ,49, 
316007, ,53, 
316010, ,57, 
316011, ,55, 
316012, ,29, 
316013, ,46, 
316014, ,69, 
317001,102,31, 
317002,90,57, 
317003,81,71, 
317004,84,53, 
317006,76,57, 
317007,79,60, 
317009,59, , 
317010,80,56, 
317014,56,33, 
317015,81,63, 
318002, ,46, 
318003, ,60, 
318004, ,80, 
318008,85,56, 
321001, ,34, 
321002,73,37, 
321003,80, , 
321004,92, , 
321006,66,36, 
321009,88, , 
321010,82, , 
321011,81, , 
321013,89, , 
327002, ,69,64
327008, ,52,69
327009,80, , 
327010,100,74, 
327011,101,76,92
327012,91,67, 
327014, , ,53
327015, ,71,82
327016,74,58,67
327017,95,73,77
327018,67,59,68
327019,80,54, 
327020,92,74,71
327021,79,60, 
327023,92,63, 
327026,65,53, 
327027,89,67, 
327028,71,58,63
327030,83, , 
327031, ,57,65
327032,75, ,59
327034,41,35, 
327036, ,53,61
327037, ,52,38
327039, , ,68
327040, , ,48
327042,66, , 
327043, ,31,42
327044,46,27,30
327045,78,62,69
327046,84,59,69
327047,105,82,84
327048,38, ,55
327049,68,41, 
327050,98,73,85
328010, , ,90
329002, ,37, 
329003,68,36,34
329004,67,32,61
329006,86,59, 
329007,73, , 
329008,88, , 
329014, ,55, 
329017,97,85, 
329018,85,37,44
331002, ,82, 
331003, ,65, 
331004, ,57, 
331005, ,45, 
331007, ,37, 
331008, ,56, 
331009, ,62, 
331011, ,67, 
331013, ,64, 
331014, ,38, 
331015, ,71, 
331016, ,49, 
333008,77,72, 
333009,87,55, 
333012,63,46, 
336001,47,28, 
336002,81,53, 
336004,80,59, 
336005,93,77, 
336007,85,50, 
336008,90,45, 
336010, ,33, 
336011, ,37, 
336012,76, , 
336013,74,64,79
336016,88,57, 
346002,99,83, 
346003,61, ,49
346005,74,59, 
346007,100, ,90
346008, ,65, 
346011,59, , 
346012,122, , 
346014, , ,74
346015,94, , 
346017,98, , 
348001, ,61, 
348007, ,54, 
348008, ,49, 
348010, ,51, 
354001,79,77,105
354002,67,72, 
354003,47,45, 
354004,72,58, 
354005, ,95, 
354006,53,41, 
354007,37,26, 
354008,71,28, 
354009,77,61, 
354010, ,71, 
354011,56,45, 
354012,66,58, 
