test,grade,raw,ss,CI90,CI95,percentile,grade_equiv,desc_range
ernle,1-Fall,76,112,103 - 121,101 - 123,79,2-Fall,Above Average
ernle,1-Fall,77,113,104 - 122,102 - 124,81,2-Fall,Above Average
ernle,1-Fall,78,114,105 - 123,103 - 125,82,2-Fall,Above Average
ernle,1-Fall,79,115,106 - 124,104 - 126,84,2-Spring,Above Average
ernle,1-Fall,80,115,106 - 124,104 - 126,84,2-Spring,Above Average
ernle,1-Fall,81,116,107 - 125,105 - 127,86,2-Spring,Above Average
ernle,1-Fall,82,117,108 - 126,106 - 128,87,2-Spring,Above Average
ernle,1-Fall,83,118,109 - 127,107 - 129,88,2-Spring,Above Average
ernle,1-Fall,84,119,110 - 128,108 - 130,90,2-Spring,Above Average
ernle,1-Fall,85,119,110 - 128,108 - 130,90,2-Spring,Above Average
ernle,1-Fall,86,120,111 - 129,109 - 130,91,2-Spring,Well Above Average
ernle,1-Fall,87,121,112 - 130,110 - 130,92,2-Spring,Well Above Average
ernle,1-Fall,88,122,113 - 130,111 - 130,93,2-Spring,Well Above Average
ernle,1-Fall,89,123,114 - 130,112 - 130,94,> stop grade,Well Above Average
ernle,1-Fall,90,123,114 - 130,112 - 130,94,> stop grade,Well Above Average
ernle,1-Fall,91,124,115 - 130,113 - 130,95,> stop grade,Well Above Average
ernle,1-Fall,92,125,116 - 130,114 - 130,95,> stop grade,Well Above Average
ernle,1-Fall,93,126,117 - 130,115 - 130,96,> stop grade,Well Above Average
ernle,1-Fall,94,127,118 - 130,116 - 130,96,> stop grade,Well Above Average
ernle,1-Fall,95,127,118 - 130,116 - 130,96,> stop grade,Well Above Average
ernle,1-Fall,96,128,119 - 130,117 - 130,97,> stop grade,Well Above Average
ernle,1-Fall,97,129,120 - 130,118 - 130,97,> stop grade,Well Above Average
ernle,1-Fall,98,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,99,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,100,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,101,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,102,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,103,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,104,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,105,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,106,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,107,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,108,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,109,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,110,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,111,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,112,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,113,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,114,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,115,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,116,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,117,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,118,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,119,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Fall,120,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,0,52,43 - 61,41 - 63,0.1,< start grade,Significantly Below Average
ernle,1-Spring,1,53,44 - 62,42 - 64,0.1,< start grade,Significantly Below Average
ernle,1-Spring,2,53,44 - 62,42 - 64,0.1,< start grade,Significantly Below Average
ernle,1-Spring,3,54,45 - 63,43 - 65,0.1,< start grade,Significantly Below Average
ernle,1-Spring,4,55,46 - 64,44 - 66,0.1,< start grade,Significantly Below Average
ernle,1-Spring,5,56,47 - 65,45 - 67,0.2,< start grade,Significantly Below Average
ernle,1-Spring,6,56,47 - 65,45 - 67,0.2,< start grade,Significantly Below Average
ernle,1-Spring,7,57,48 - 66,46 - 68,0.2,< start grade,Significantly Below Average
ernle,1-Spring,8,58,49 - 67,47 - 69,0.3,< start grade,Significantly Below Average
ernle,1-Spring,9,58,49 - 67,47 - 69,0.3,< start grade,Significantly Below Average
ernle,1-Spring,10,59,50 - 68,48 - 70,0.3,< start grade,Significantly Below Average
ernle,1-Spring,11,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,1-Spring,12,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,1-Spring,13,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,1-Spring,14,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,1-Spring,15,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,1-Spring,16,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,1-Spring,17,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,1-Spring,18,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,1-Spring,19,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,1-Spring,20,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,1-Spring,21,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,1-Spring,22,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,1-Spring,23,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,1-Spring,24,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,1-Spring,25,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,1-Spring,26,70,61 - 79,59 - 81,2,< start grade,Well Below Average
ernle,1-Spring,27,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,1-Spring,28,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,1-Spring,29,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,1-Spring,30,73,64 - 82,62 - 84,4,< start grade,Well Below Average
ernle,1-Spring,31,73,64 - 82,62 - 84,4,< start grade,Well Below Average
ernle,1-Spring,32,74,65 - 83,63 - 85,4,< start grade,Well Below Average
ernle,1-Spring,33,75,66 - 84,64 - 86,5,< start grade,Well Below Average
ernle,1-Spring,34,76,67 - 85,65 - 87,5,< start grade,Well Below Average
ernle,1-Spring,35,76,67 - 85,65 - 87,5,< start grade,Well Below Average
ernle,1-Spring,36,77,68 - 86,66 - 88,6,K-Fall,Well Below Average
ernle,1-Spring,37,78,69 - 87,67 - 89,7,K-Fall,Well Below Average
ernle,1-Spring,38,78,69 - 87,67 - 89,7,K-Fall,Well Below Average
ernle,1-Spring,39,79,70 - 88,68 - 90,8,K-Fall,Well Below Average
ernle,1-Spring,40,80,71 - 89,69 - 91,9,K-Fall,Below Average
ernle,1-Spring,41,81,72 - 90,70 - 92,10,K-Fall,Below Average
ernle,1-Spring,42,81,72 - 90,70 - 92,10,K-Fall,Below Average
ernle,1-Spring,43,82,73 - 91,71 - 93,12,K-Fall,Below Average
ernle,1-Spring,44,83,74 - 92,72 - 94,13,K-Fall,Below Average
ernle,1-Spring,45,83,74 - 92,72 - 94,13,K-Fall,Below Average
ernle,1-Spring,46,84,75 - 93,73 - 95,14,K-Fall,Below Average
ernle,1-Spring,47,85,76 - 94,74 - 96,16,K-Spring,Below Average
ernle,1-Spring,48,86,77 - 95,75 - 97,18,K-Spring,Below Average
ernle,1-Spring,49,86,77 - 95,75 - 97,18,K-Spring,Below Average
ernle,1-Spring,50,87,78 - 96,76 - 98,19,K-Spring,Below Average
ernle,1-Spring,51,88,79 - 97,77 - 99,21,K-Spring,Below Average
ernle,1-Spring,52,88,79 - 97,77 - 99,21,K-Spring,Below Average
ernle,1-Spring,53,89,80 - 98,78 - 100,23,K-Spring,Below Average
ernle,1-Spring,54,90,81 - 99,79 - 101,25,K-Spring,Average
ernle,1-Spring,55,91,82 - 100,80 - 102,27,K-Spring,Average
ernle,1-Spring,56,91,82 - 100,80 - 102,27,1-Fall,Average
ernle,1-Spring,57,92,83 - 101,81 - 103,30,1-Fall,Average
ernle,1-Spring,58,93,84 - 102,82 - 104,32,1-Fall,Average
ernle,1-Spring,59,94,85 - 103,83 - 105,34,1-Fall,Average
ernle,1-Spring,60,94,85 - 103,83 - 105,34,1-Fall,Average
ernle,1-Spring,61,95,86 - 104,84 - 106,37,1-Fall,Average
ernle,1-Spring,62,96,87 - 105,85 - 107,39,1-Fall,Average
ernle,1-Spring,63,96,87 - 105,85 - 107,39,1-Fall,Average
ernle,1-Spring,64,97,88 - 106,86 - 108,42,1-Fall,Average
ernle,1-Spring,65,98,89 - 107,87 - 109,45,1-Spring,Average
ernle,1-Spring,66,99,90 - 108,88 - 110,47,1-Spring,Average
ernle,1-Spring,67,99,90 - 108,88 - 110,47,1-Spring,Average
ernle,1-Spring,68,100,91 - 109,89 - 111,50,1-Spring,Average
ernle,1-Spring,69,101,92 - 110,90 - 112,53,1-Spring,Average
ernle,1-Spring,70,102,93 - 111,91 - 113,55,1-Spring,Average
ernle,1-Spring,71,102,93 - 111,91 - 113,55,1-Spring,Average
ernle,1-Spring,72,103,94 - 112,92 - 114,58,2-Fall,Average
ernle,1-Spring,73,104,95 - 113,93 - 115,61,2-Fall,Average
ernle,1-Spring,74,105,96 - 114,94 - 116,63,2-Fall,Average
ernle,1-Spring,75,106,97 - 115,95 - 117,66,2-Fall,Average
ernle,1-Spring,76,106,97 - 115,95 - 117,66,2-Fall,Average
ernle,1-Spring,77,107,98 - 116,96 - 118,68,2-Fall,Average
ernle,1-Spring,78,108,99 - 117,97 - 119,70,2-Fall,Average
ernle,1-Spring,79,109,100 - 118,98 - 120,73,2-Spring,Average
ernle,1-Spring,80,109,100 - 118,98 - 120,73,2-Spring,Average
ernle,1-Spring,81,110,101 - 119,99 - 121,75,2-Spring,Above Average
ernle,1-Spring,82,111,102 - 120,100 - 122,77,2-Spring,Above Average
ernle,1-Spring,83,112,103 - 121,101 - 123,79,2-Spring,Above Average
ernle,1-Spring,84,113,104 - 122,102 - 124,81,2-Spring,Above Average
ernle,1-Spring,85,113,104 - 122,102 - 124,81,2-Spring,Above Average
ernle,1-Spring,86,114,105 - 123,103 - 125,82,2-Spring,Above Average
ernle,1-Spring,87,115,106 - 124,104 - 126,84,2-Spring,Above Average
ernle,1-Spring,88,116,107 - 125,105 - 127,86,2-Spring,Above Average
ernle,1-Spring,89,116,107 - 125,105 - 127,86,> stop grade,Above Average
ernle,1-Spring,90,117,108 - 126,106 - 128,87,> stop grade,Above Average
ernle,1-Spring,91,118,109 - 127,107 - 129,88,> stop grade,Above Average
ernle,1-Spring,92,119,110 - 128,108 - 130,90,> stop grade,Above Average
ernle,1-Spring,93,120,111 - 129,109 - 130,91,> stop grade,Well Above Average
ernle,1-Spring,94,121,112 - 130,110 - 130,92,> stop grade,Well Above Average
ernle,1-Spring,95,121,112 - 130,110 - 130,92,> stop grade,Well Above Average
ernle,1-Spring,96,122,113 - 130,111 - 130,93,> stop grade,Well Above Average
ernle,1-Spring,97,123,114 - 130,112 - 130,94,> stop grade,Well Above Average
ernle,1-Spring,98,124,115 - 130,113 - 130,95,> stop grade,Well Above Average
ernle,1-Spring,99,125,116 - 130,114 - 130,95,> stop grade,Well Above Average
ernle,1-Spring,100,126,117 - 130,115 - 130,96,> stop grade,Well Above Average
ernle,1-Spring,101,126,117 - 130,115 - 130,96,> stop grade,Well Above Average
ernle,1-Spring,102,127,118 - 130,116 - 130,96,> stop grade,Well Above Average
ernle,1-Spring,103,128,119 - 130,117 - 130,97,> stop grade,Well Above Average
ernle,1-Spring,104,129,120 - 130,118 - 130,97,> stop grade,Well Above Average
ernle,1-Spring,105,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,106,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,107,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,108,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,109,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,110,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,111,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,112,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,113,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,114,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,115,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,116,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,117,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,118,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,119,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,1-Spring,120,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,0,49,40 - 58,40 - 60,<.1,< start grade,Significantly Below Average
ernle,2-Fall,1,50,41 - 59,40 - 61,0.1,< start grade,Significantly Below Average
ernle,2-Fall,2,50,41 - 59,40 - 61,0.1,< start grade,Significantly Below Average
ernle,2-Fall,3,51,42 - 60,40 - 62,0.1,< start grade,Significantly Below Average
ernle,2-Fall,4,52,43 - 61,41 - 63,0.1,< start grade,Significantly Below Average
ernle,2-Fall,5,52,43 - 61,41 - 63,0.1,< start grade,Significantly Below Average
ernle,2-Fall,6,53,44 - 62,42 - 64,0.1,< start grade,Significantly Below Average
ernle,2-Fall,7,53,44 - 62,42 - 64,0.1,< start grade,Significantly Below Average
ernle,2-Fall,8,54,45 - 63,43 - 65,0.1,< start grade,Significantly Below Average
ernle,2-Fall,9,55,46 - 64,44 - 66,0.1,< start grade,Significantly Below Average
ernle,2-Fall,10,55,46 - 64,44 - 66,0.1,< start grade,Significantly Below Average
ernle,2-Fall,11,56,47 - 65,45 - 67,0.2,< start grade,Significantly Below Average
ernle,2-Fall,12,57,48 - 66,46 - 68,0.2,< start grade,Significantly Below Average
ernle,2-Fall,13,57,48 - 66,46 - 68,0.2,< start grade,Significantly Below Average
ernle,2-Fall,14,58,49 - 67,47 - 69,0.3,< start grade,Significantly Below Average
ernle,2-Fall,15,59,50 - 68,48 - 70,0.3,< start grade,Significantly Below Average
ernle,2-Fall,16,59,50 - 68,48 - 70,0.3,< start grade,Significantly Below Average
ernle,2-Fall,17,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,2-Fall,18,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,2-Fall,19,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,2-Fall,20,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,2-Fall,21,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,2-Fall,22,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,2-Fall,23,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,2-Fall,24,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,2-Fall,25,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,2-Fall,26,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,2-Fall,27,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,2-Fall,28,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,2-Fall,29,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,2-Fall,30,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,2-Fall,31,69,60 - 78,58 - 80,2,< start grade,Significantly Below Average
ernle,2-Fall,32,70,61 - 79,59 - 81,2,< start grade,Well Below Average
ernle,2-Fall,33,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,2-Fall,34,71,62 - 80,60 - 82,3,< start grade,Well Below Average
ernle,2-Fall,35,72,63 - 81,61 - 83,3,< start grade,Well Below Average
ernle,2-Fall,36,73,64 - 82,62 - 84,4,K-Fall,Well Below Average
ernle,2-Fall,37,73,64 - 82,62 - 84,4,K-Fall,Well Below Average
ernle,2-Fall,38,74,65 - 83,63 - 85,4,K-Fall,Well Below Average
ernle,2-Fall,39,75,66 - 84,64 - 86,5,K-Fall,Well Below Average
ernle,2-Fall,40,75,66 - 84,64 - 86,5,K-Fall,Well Below Average
ernle,2-Fall,41,76,67 - 85,65 - 87,5,K-Fall,Well Below Average
ernle,2-Fall,42,77,68 - 86,66 - 88,6,K-Fall,Well Below Average
ernle,2-Fall,43,77,68 - 86,66 - 88,6,K-Fall,Well Below Average
ernle,2-Fall,44,78,69 - 87,67 - 89,7,K-Fall,Well Below Average
ernle,2-Fall,45,79,70 - 88,68 - 90,8,K-Fall,Well Below Average
ernle,2-Fall,46,79,70 - 88,68 - 90,8,K-Fall,Well Below Average
ernle,2-Fall,47,80,71 - 89,69 - 91,9,K-Spring,Below Average
ernle,2-Fall,48,81,72 - 90,70 - 92,10,K-Spring,Below Average
ernle,2-Fall,49,81,72 - 90,70 - 92,10,K-Spring,Below Average
ernle,2-Fall,50,82,73 - 91,71 - 93,12,K-Spring,Below Average
ernle,2-Fall,51,83,74 - 92,72 - 94,13,K-Spring,Below Average
ernle,2-Fall,52,83,74 - 92,72 - 94,13,K-Spring,Below Average
ernle,2-Fall,53,84,75 - 93,73 - 95,14,K-Spring,Below Average
ernle,2-Fall,54,85,76 - 94,74 - 96,16,K-Spring,Below Average
ernle,2-Fall,55,86,77 - 95,75 - 97,18,K-Spring,Below Average
ernle,2-Fall,56,86,77 - 95,75 - 97,18,1-Fall,Below Average
ernle,2-Fall,57,87,78 - 96,76 - 98,19,1-Fall,Below Average
ernle,2-Fall,58,88,79 - 97,77 - 99,21,1-Fall,Below Average
ernle,2-Fall,59,88,79 - 97,77 - 99,21,1-Fall,Below Average
ernle,2-Fall,60,89,80 - 98,78 - 100,23,1-Fall,Below Average
ernle,2-Fall,61,90,81 - 99,79 - 101,25,1-Fall,Average
ernle,2-Fall,62,91,82 - 100,80 - 102,27,1-Fall,Average
ernle,2-Fall,63,91,82 - 100,80 - 102,27,1-Fall,Average
ernle,2-Fall,64,92,83 - 101,81 - 103,30,1-Fall,Average
ernle,2-Fall,65,93,84 - 102,82 - 104,32,1-Spring,Average
ernle,2-Fall,66,93,84 - 102,82 - 104,32,1-Spring,Average
ernle,2-Fall,67,94,85 - 103,83 - 105,34,1-Spring,Average
ernle,2-Fall,68,95,86 - 104,84 - 106,37,1-Spring,Average
ernle,2-Fall,69,96,87 - 105,85 - 107,39,1-Spring,Average
ernle,2-Fall,70,96,87 - 105,85 - 107,39,1-Spring,Average
ernle,2-Fall,71,97,88 - 106,86 - 108,42,1-Spring,Average
ernle,2-Fall,72,98,89 - 107,87 - 109,45,2-Fall,Average
ernle,2-Fall,73,99,90 - 108,88 - 110,47,2-Fall,Average
ernle,2-Fall,74,99,90 - 108,88 - 110,47,2-Fall,Average
ernle,2-Fall,75,100,91 - 109,89 - 111,50,2-Fall,Average
ernle,2-Fall,76,101,92 - 110,90 - 112,53,2-Fall,Average
ernle,2-Fall,77,102,93 - 111,91 - 113,55,2-Fall,Average
ernle,2-Fall,78,102,93 - 111,91 - 113,55,2-Fall,Average
ernle,2-Fall,79,103,94 - 112,92 - 114,58,2-Spring,Average
ernle,2-Fall,80,104,95 - 113,93 - 115,61,2-Spring,Average
ernle,2-Fall,81,105,96 - 114,94 - 116,63,2-Spring,Average
ernle,2-Fall,82,106,97 - 115,95 - 117,66,2-Spring,Average
ernle,2-Fall,83,106,97 - 115,95 - 117,66,2-Spring,Average
ernle,2-Fall,84,107,98 - 116,96 - 118,68,2-Spring,Average
ernle,2-Fall,85,108,99 - 117,97 - 119,70,2-Spring,Average
ernle,2-Fall,86,109,100 - 118,98 - 120,73,2-Spring,Average
ernle,2-Fall,87,110,101 - 119,99 - 121,75,2-Spring,Above Average
ernle,2-Fall,88,110,101 - 119,99 - 121,75,2-Spring,Above Average
ernle,2-Fall,89,111,102 - 120,100 - 122,77,> stop grade,Above Average
ernle,2-Fall,90,112,103 - 121,101 - 123,79,> stop grade,Above Average
ernle,2-Fall,91,113,104 - 122,102 - 124,81,> stop grade,Above Average
ernle,2-Fall,92,114,105 - 123,103 - 125,82,> stop grade,Above Average
ernle,2-Fall,93,114,105 - 123,103 - 125,82,> stop grade,Above Average
ernle,2-Fall,94,115,106 - 124,104 - 126,84,> stop grade,Above Average
ernle,2-Fall,95,116,107 - 125,105 - 127,86,> stop grade,Above Average
ernle,2-Fall,96,117,108 - 126,106 - 128,87,> stop grade,Above Average
ernle,2-Fall,97,118,109 - 127,107 - 129,88,> stop grade,Above Average
ernle,2-Fall,98,119,110 - 128,108 - 130,90,> stop grade,Above Average
ernle,2-Fall,99,120,111 - 129,109 - 130,91,> stop grade,Well Above Average
ernle,2-Fall,100,121,112 - 130,110 - 130,92,> stop grade,Well Above Average
ernle,2-Fall,101,121,112 - 130,110 - 130,92,> stop grade,Well Above Average
ernle,2-Fall,102,122,113 - 130,111 - 130,93,> stop grade,Well Above Average
ernle,2-Fall,103,123,114 - 130,112 - 130,94,> stop grade,Well Above Average
ernle,2-Fall,104,124,115 - 130,113 - 130,95,> stop grade,Well Above Average
ernle,2-Fall,105,125,116 - 130,114 - 130,95,> stop grade,Well Above Average
ernle,2-Fall,106,126,117 - 130,115 - 130,96,> stop grade,Well Above Average
ernle,2-Fall,107,127,118 - 130,116 - 130,96,> stop grade,Well Above Average
ernle,2-Fall,108,128,119 - 130,117 - 130,97,> stop grade,Well Above Average
ernle,2-Fall,109,129,120 - 130,118 - 130,97,> stop grade,Well Above Average
ernle,2-Fall,110,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,111,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,112,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,113,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,114,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,115,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,116,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,117,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,118,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,119,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Fall,120,130,121 - 130,119 - 130,98,> stop grade,Well Above Average
ernle,2-Spring,0,46,40 - 55,40 - 57,<.1,< start grade,Significantly Below Average
ernle,2-Spring,1,47,40 - 56,40 - 58,<.1,< start grade,Significantly Below Average
ernle,2-Spring,2,47,40 - 56,40 - 58,<.1,< start grade,Significantly Below Average
ernle,2-Spring,3,48,40 - 57,40 - 59,<.1,< start grade,Significantly Below Average
ernle,2-Spring,4,49,40 - 58,40 - 60,<.1,< start grade,Significantly Below Average
ernle,2-Spring,5,49,40 - 58,40 - 60,<.1,< start grade,Significantly Below Average
ernle,2-Spring,6,50,41 - 59,40 - 61,0.1,< start grade,Significantly Below Average
ernle,2-Spring,7,50,41 - 59,40 - 61,0.1,< start grade,Significantly Below Average
ernle,2-Spring,8,51,42 - 60,40 - 62,0.1,< start grade,Significantly Below Average
ernle,2-Spring,9,52,43 - 61,41 - 63,0.1,< start grade,Significantly Below Average
ernle,2-Spring,10,52,43 - 61,41 - 63,0.1,< start grade,Significantly Below Average
ernle,2-Spring,11,53,44 - 62,42 - 64,0.1,< start grade,Significantly Below Average
ernle,2-Spring,12,53,44 - 62,42 - 64,0.1,< start grade,Significantly Below Average
ernle,2-Spring,13,54,45 - 63,43 - 65,0.1,< start grade,Significantly Below Average
ernle,2-Spring,14,55,46 - 64,44 - 66,0.1,< start grade,Significantly Below Average
ernle,2-Spring,15,55,46 - 64,44 - 66,0.1,< start grade,Significantly Below Average
ernle,2-Spring,16,56,47 - 65,45 - 67,0.2,< start grade,Significantly Below Average
ernle,2-Spring,17,57,48 - 66,46 - 68,0.2,< start grade,Significantly Below Average
ernle,2-Spring,18,57,48 - 66,46 - 68,0.2,< start grade,Significantly Below Average
ernle,2-Spring,19,58,49 - 67,47 - 69,0.3,< start grade,Significantly Below Average
ernle,2-Spring,20,58,49 - 67,47 - 69,0.3,< start grade,Significantly Below Average
ernle,2-Spring,21,59,50 - 68,48 - 70,0.3,< start grade,Significantly Below Average
ernle,2-Spring,22,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,2-Spring,23,60,51 - 69,49 - 71,0.4,< start grade,Significantly Below Average
ernle,2-Spring,24,61,52 - 70,50 - 72,0.5,< start grade,Significantly Below Average
ernle,2-Spring,25,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,2-Spring,26,62,53 - 71,51 - 73,1,< start grade,Significantly Below Average
ernle,2-Spring,27,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,2-Spring,28,63,54 - 72,52 - 74,1,< start grade,Significantly Below Average
ernle,2-Spring,29,64,55 - 73,53 - 75,1,< start grade,Significantly Below Average
ernle,2-Spring,30,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,2-Spring,31,65,56 - 74,54 - 76,1,< start grade,Significantly Below Average
ernle,2-Spring,32,66,57 - 75,55 - 77,1,< start grade,Significantly Below Average
ernle,2-Spring,33,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,2-Spring,34,67,58 - 76,56 - 78,1,< start grade,Significantly Below Average
ernle,2-Spring,35,68,59 - 77,57 - 79,2,< start grade,Significantly Below Average
ernle,2-Spring,36,69,60 - 78,58 - 80,2,K-Fall,Significantly Below Average
ernle,2-Spring,37,69,60 - 78,58 - 80,2,K-Fall,Significantly Below Average
ernle,2-Spring,38,70,61 - 79,59 - 81,2,K-Fall,Well Below Average
ernle,2-Spring,39,70,61 - 79,59 - 81,2,K-Fall,Well Below Average
ernle,2-Spring,40,71,62 - 80,60 - 82,3,K-Fall,Well Below Average
ernle,2-Spring,41,72,63 - 81,61 - 83,3,K-Fall,Well Below Average
ernle,2-Spring,42,72,63 - 81,61 - 83,3,K-Fall,Well Below Average
ernle,2-Spring,43,73,64 - 82,62 - 84,4,K-Fall,Well Below Average
ernle,2-Spring,44,74,65 - 83,63 - 85,4,K-Fall,Well Below Average
ernle,2-Spring,45,74,65 - 83,63 - 85,4,K-Fall,Well Below Average
ernle,2-Spring,46,75,66 - 84,64 - 86,5,K-Fall,Well Below Average
ernle,2-Spring,47,76,67 - 85,65 - 87,5,K-Spring,Well Below Average
ernle,2-Spring,48,76,67 - 85,65 - 87,5,K-Spring,Well Below Average
ernle,2-Spring,49,77,68 - 86,66 - 88,6,K-Spring,Well Below Average
ernle,2-Spring,50,78,69 - 87,67 - 89,7,K-Spring,Well Below Average
ernle,2-Spring,51,78,69 - 87,67 - 89,7,K-Spring,Well Below Average
ernle,2-Spring,52,79,70 - 88,68 - 90,8,K-Spring,Well Below Average
ernle,2-Spring,53,80,71 - 89,69 - 91,9,K-Spring,Below Average
ernle,2-Spring,54,80,71 - 89,69 - 91,9,K-Spring,Below Average
ernle,2-Spring,55,81,72 - 90,70 - 92,10,K-Spring,Below Average
ernle,2-Spring,56,82,73 - 91,71 - 93,12,1-Fall,Below Average
