ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
241025,,6:4-6:7,K_Spring,male,BA_plus,white,midwest,1.0507849079731348,24,25,65,68,22,23,18,19,30,32,30,32,146,153
241027,,6:4-6:7,K_Spring,male,BA_plus,white,midwest,1.0507849079731348,20,21,85,89,5,5,14,15,29,30,26,27,154,162
241029,1,6:8-6:11,K_Spring,female,BA_plus,white,midwest,0.9855614888010669,20,20,38,38,25,25,11,11,19,19,27,27,98,98
243022,,7:0-7:5,1_Fall,male,BA_plus,white,south,1.2192146957307326,15,18,45,55,17,21,17,21,18,22,22,27,136,166
243026,,6:0-6:3,1_Fall,male,BA_plus,white,south,1.2192146957307326,19,23,48,59,18,22,22,27,26,32,27,33,170,207
243034,,7:6-7:11,2_Spring,female,HS_grad,other,south,1.1389367105021122,24,27,53,60,31,35,26,30,37,42,34,39,196,223
248038,,6:8-6:11,1_Fall,female,some_college,white,west,1.0232230035590375,17,17,52,53,21,21,19,19,25,26,28,29,104,106
248052,1,7:6-7:11,2_Spring,female,HS_grad,white,west,1.0763788255450297,14,14,39,39,7,7,12,12,13,13,22,22,95,95
257001,,7:6-7:11,1_Fall,male,HS_grad,hispanic,west,0.7844616305823731,24,19,99,78,25,20,26,20,38,30,33,26,196,154
257002,,7:6-7:11,1_Fall,female,no_HS,hispanic,west,1.2739129394136077,23,29,78,99,6,8,18,23,36,46,34,43,162,206
257003,,6:8-6:11,1_Fall,female,some_college,hispanic,west,0.699434022927801,23,16,99,69,16,11,23,16,37,26,34,24,171,120
257004,,7:6-7:11,1_Fall,female,some_college,hispanic,west,0.699434022927801,21,15,64,45,20,14,17,12,32,22,27,19,94,66
257005,,7:0-7:5,1_Fall,female,some_college,hispanic,west,0.699434022927801,21,15,64,45,28,20,23,16,36,25,33,23,170,119
257012,,8:0-9:3,2_Fall,male,HS_grad,hispanic,west,0.7844616305823731,20,16,77,60,28,22,26,20,37,29,33,26,189,148
257016,,8:0-9:3,2_Fall,female,no_HS,hispanic,west,1.2739129394136077,22,28,76,97,12,15,21,27,28,36,31,39,111,141
257017,,8:0-9:3,2_Fall,female,some_college,hispanic,west,0.699434022927801,20,14,88,62,6,4,19,13,31,22,32,22,150,105
262026,,8:0-9:3,2_Fall,male,BA_plus,white,midwest,1.0507849079731348,21,22,97,102,30,32,24,25,39,41,34,36,263,276
262027,,6:8-6:11,1_Fall,female,BA_plus,white,midwest,0.9855614888010669,19,19,62,61,23,23,14,14,15,15,29,29,98,97
262043,,7:0-7:5,1_Fall,female,BA_plus,white,south,1.143536647295701,21,24,83,95,17,19,21,24,30,34,31,35,128,146
262047,,6:0-6:3,K_Fall,female,BA_plus,white,south,1.143536647295701,14,16,27,31,4,5,16,18,12,14,29,33,105,120
262049,1,6:0-6:3,1_Fall,male,BA_plus,white,south,1.2192146957307326,21,21,64,64,8,8,16,16,19,19,24,24,109,109
262051,,6:8-6:11,1_Fall,male,BA_plus,white,south,1.2192146957307326,20,24,87,106,27,33,25,30,38,46,25,30,206,251
262053,,7:0-7:5,1_Fall,female,BA_plus,white,south,1.143536647295701,19,22,90,103,22,25,20,23,22,25,31,35,118,135
262054,,5:0-5:7,K_Fall,male,BA_plus,white,south,1.2192146957307326,14,17,54,66,5,6,8,10,12,15,15,18,96,117
262055,,6:0-6:3,K_Fall,male,BA_plus,white,midwest,1.0507849079731348,19,20,61,64,23,24,16,17,16,17,24,25,97,102
262056,,7:0-7:5,1_Fall,male,BA_plus,white,midwest,1.0507849079731348,23,24,91,96,22,23,14,15,24,25,31,33,135,142
262057,,6:0-6:3,K_Fall,male,BA_plus,white,south,1.2192146957307326,20,24,65,79,11,13,20,24,16,20,29,35,114,139
262061,,5:0-5:7,K_Fall,female,BA_plus,white,south,1.143536647295701,9,10,38,43,3,3,13,15,14,16,15,17,100,114
262063,1,5:8-5:11,K_Fall,female,BA_plus,white,south,1.143536647295701,,,21,21,5,5,1,1,9,9,11,11,88,88
262071,,6:8-6:11,1_Fall,male,BA_plus,white,south,1.2192146957307326,20,24,49,60,25,30,20,24,35,43,30,37,170,207
269001,1,8:0-9:3,2_Fall,male,BA_plus,white,south,1.2192146957307326,21,21,69,69,20,20,18,18,28,28,24,24,112,112
269011,,7:0-7:5,2_Fall,male,BA_plus,white,south,1.2192146957307326,24,29,83,101,29,35,26,32,38,46,34,41,251,306
269012,,6:0-6:3,1_Fall,male,BA_plus,white,south,1.2192146957307326,20,24,69,84,24,29,18,22,20,24,30,37,101,123
269013,,7:6-7:11,2_Fall,female,BA_plus,white,south,1.143536647295701,24,27,80,91,28,32,24,27,38,43,33,38,164,188
302001,1,6:4-6:7,1_Fall,male,BA_plus,white,south,1.2192146957307326,15,15,29,29,22,22,19,19,19,19,29,29,101,101
302002,,6:0-6:3,1_Fall,male,BA_plus,hispanic,south,0.8334060478326991,11,9,45,38,8,7,12,10,26,22,20,17,90,75
302005,,7:6-7:11,2_Fall,male,BA_plus,white,south,1.2192146957307326,21,26,57,69,24,29,19,23,32,39,31,38,118,144
302006,,7:0-7:5,2_Fall,female,BA_plus,white,south,1.143536647295701,23,26,80,91,23,26,23,26,33,38,30,34,137,157
302007,1,7:0-7:5,2_Fall,male,some_college,black,south,0.920219701145637,16,16,73,73,21,21,19,19,25,25,23,23,114,114
305005,,6:8-6:11,1_Fall,male,BA_plus,white,west,0.9469881110666128,23,22,86,81,24,23,20,19,36,34,31,29,174,165
305011,,5:0-5:7,K_Fall,female,BA_plus,white,west,0.8882074776083315,21,19,56,50,17,15,12,11,13,12,13,12,105,93
305014,,6:8-6:11,1_Fall,female,BA_plus,white,west,0.8882074776083315,24,21,66,59,25,22,19,17,30,27,32,28,136,121
